티커,BPS,PER,PBR,EPS,DIV,DPS,ticker,sector
086040,2070,0.0,4.72,0,0.0,0,086040,2001/2004/2012/2182
032980,630,0.0,2.07,0,0.0,0,032980,2001/2004/2027/2183
043150,16730,12.17,1.66,2281,0.36,100,043150,2001/2003/2024/2074/2181
323990,697,0.0,150.2,0,0.0,0,323990,2001/2002/2012/2184
267790,5855,11.49,1.73,883,0.0,0,267790,2001/2004/2024/2058/2182
046310,2650,26.12,1.17,119,1.61,50,046310,2001/2004/2015/2043/2157/2183
036620,287,0.0,2.82,0,0.0,0,036620,2001/2004/2027/2183
066410,1334,0.0,1.35,0,0.0,0,066410,2001/2004/2015/2042/2154/2183
206400,2025,48.53,3.12,130,0.0,0,206400,2001/2004/2015/2042/2155/2183
019010,5349,20.22,0.34,89,1.67,30,019010,2001/2004/2027/2183
177350,1742,0.0,3.27,0,0.0,0,177350,2001/2004/2015/2043/2159/2183
299910,10465,0.0,1.7,0,0.0,0,299910,2001/2004/2015/2042/2154/2181
225530,1889,29.94,2.77,175,0.95,50,225530,2001/2004/2024/2067/2183
250000,8180,31.4,1.93,503,0.95,150,250000,2001/2004/2027/2183
006910,1743,138.0,1.43,18,0.0,0,006910,2001/2004/2024/2068/2183
226340,1106,18.33,2.78,168,0.0,0,226340,2001/2004/2024/2065/2182
014470,3040,0.0,0.86,0,0.77,20,014470,2001/2004/2031/2183
008470,8763,14.57,0.69,416,1.49,90,008470,2001/2004/2024/2068/2181
338220,610,0.0,40.66,0,0.0,0,338220,2001/2015/2042/2155/2184
100120,16139,13.84,2.11,2457,1.18,400,100120,2001/2003/2024/2074/2181
337930,852,20.3,12.79,537,0.0,0,337930,2001/2004/2015/2042/2153/2183
064480,2755,0.0,1.45,0,2.5,100,064480,2001/2004/2015/2042/2156/2182
288330,4021,91.9,3.25,142,0.0,0,288330,2001/2003/2024/2066/2184
251630,5428,25.34,2.06,442,0.89,100,251630,2001/2004/2024/2070/2183
018290,1577,79.6,5.2,103,0.0,0,018290,2001/2003/2024/2072/2182/2203/2212
263920,6606,0.0,0.69,0,0.0,0,263920,2001/2004/2024/2077
033560,9221,71.7,0.79,101,0.0,0,033560,2001/2004/2015/2043/2160/2183
126340,4223,41.6,10.11,1027,0.0,0,126340,2001/2003/2015/2043/2160/2182
121800,7328,0.0,1.89,0,0.0,0,121800,2001/2003/2015/2043/2157/2182
148140,2592,0.0,3.56,0,0.0,0,148140,2001/2004/2024/2070/2183
082800,905,0.0,1.61,0,0.0,0,082800,2001/2003/2015/2043/2159/2183
318410,6483,9.94,3.0,1957,0.0,0,318410,2001/2004/2024/2077/2183
200780,11025,23.55,1.54,722,0.59,100,200780,2001/2004/2024/2066/2181
141000,10954,28.4,1.03,396,0.0,0,141000,2001/2004/2015/2043/2159/2181
090460,8551,9.55,2.15,1926,0.0,0,090460,2001/2002/2015/2043/2160/2181/2203/2216
083650,2685,0.0,1.35,0,0.0,0,083650,2001/2004/2024/2070/2183
086670,8633,17.94,1.37,661,1.27,150,086670,2001/2004/2024/2070/2181
335890,0,0.0,0.0,0,0.0,0,335890,2001/2004/2031/2182
138580,3905,38.3,4.53,462,1.61,285,138580,2001/2004/2015/2042/2155/2182
082920,6567,16.52,2.35,936,0.65,100,082920,2001/2003/2015/2043/2160/2181/2203/2213
054220,0,0.0,0.0,0,0.0,0,054220,2001/2004/2024/2072
042370,6932,13.47,1.45,746,0.5,50,042370,2001/2003/2031/2181
032850,2950,20.16,2.95,431,0.7,61,032850,2001/2004/2015/2042/2155/2182
238200,11319,67.3,2.3,387,0.0,0,238200,2001/2004/2024/2056/2184
093190,7613,8.38,0.62,565,4.01,190,093190,2001/2004/2015/2043/2158/2181
065450,1520,90.94,4.61,77,0.0,0,065450,2001/2004/2024/2074/2183
072950,9323,19.61,0.7,333,1.53,100,072950,2001/2004/2015/2043/2159/2182
143240,9543,13.76,3.34,2314,1.82,580,143240,2001/2003/2015/2042/2153/2181/2203/2213
100090,4829,0.0,3.64,0,0.0,0,100090,2001/2002/2024/2068/2181
122350,3682,79.94,1.15,53,0.0,0,122350,2001/2004/2024/2075/2181
014970,4755,201.8,1.7,40,0.93,75,014970,2001/2004/2024/2062/2183
018310,23287,9.31,0.44,1112,0.97,100,018310,2001/2004/2024/2068/2181
053700,12158,0.0,0.61,0,0.0,0,053700,2001/2004/2024/2075/2181
009620,655,0.0,1.85,0,0.0,0,009620,2001/2004/2024/2068/2183
023600,21975,7.03,0.57,1784,1.0,125,023600,2001/2004/2024/2062/2181
